Datum	Sonnenaufgang	Sonnenuntergang	Sonnenstunden	SonnenstundenSpeak
17.Mrz	06:40	18:40	12:00	12 Stunden 
18.Mrz	06:37	18:42	12:05	12 Stunden 5 Minuten
19.Mrz	06:35	18:44	12:09	12 Stunden 9 Minuten
20.Mrz	06:33	18:45	12:12	12 Stunden 12 Minuten
21.Mrz	06:31	18:47	12:16	12 Stunden 16 Minuten
22.Mrz	06:29	18:49	12:20	12 Stunden 20 Minuten
23.Mrz	06:26	18:50	12:24	12 Stunden 24 Minuten
24.Mrz	06:24	18:52	12:28	12 Stunden 28 Minuten
25.Mrz	06:22	18:54	12:32	12 Stunden 32 Minuten
26.Mrz	07:20	19:55	12:35	12 Stunden 35 Minuten
27.Mrz	07:17	19:57	12:40	12 Stunden 40 Minuten
28.Mrz	07:15	19:59	12:44	12 Stunden 44 Minuten
29.Mrz	07:13	20:00	12:47	12 Stunden 47 Minuten
30.Mrz	07:11	20:02	12:51	12 Stunden 51 Minuten
31.Mrz	07:08	20:04	12:56	12 Stunden 56 Minuten
1.Apr	07:06	20:05	12:59	12 Stunden 59 Minuten
2.Apr	07:04	20:07	13:03	13 Stunden 3 Minuten
3.Apr	07:02	20:08	13:06	13 Stunden 6 Minuten
4.Apr	06:59	20:10	13:11	13 Stunden 11 Minuten
5.Apr	06:57	20:12	13:15	13 Stunden 15 Minuten
6.Apr	06:55	20:13	13:18	13 Stunden 18 Minuten
7.Apr	06:53	20:15	13:22	13 Stunden 22 Minuten
8.Apr	06:51	20:17	13:26	13 Stunden 26 Minuten
9.Apr	06:48	20:18	13:30	13 Stunden 30 Minuten
10.Apr	06:46	20:20	13:34	13 Stunden 34 Minuten
11.Apr	06:44	20:22	13:38	13 Stunden 38 Minuten
12.Apr	06:42	20:23	13:41	13 Stunden 41 Minuten
13.Apr	06:40	20:25	13:45	13 Stunden 45 Minuten
14.Apr	06:38	20:26	13:48	13 Stunden 48 Minuten
15.Apr	06:36	20:28	13:52	13 Stunden 52 Minuten
16.Apr	06:33	20:30	13:57	13 Stunden 57 Minuten
17.Apr	06:31	20:31	14:00	14 Stunden 
18.Apr	06:29	20:33	14:04	14 Stunden 4 Minuten
19.Apr	06:27	20:35	14:08	14 Stunden 8 Minuten
20.Apr	06:25	20:36	14:11	14 Stunden 11 Minuten
21.Apr	06:23	20:38	14:15	14 Stunden 15 Minuten
22.Apr	06:21	20:39	14:18	14 Stunden 18 Minuten
23.Apr	06:19	20:41	14:22	14 Stunden 22 Minuten
24.Apr	06:17	20:43	14:26	14 Stunden 26 Minuten
25.Apr	06:15	20:44	14:29	14 Stunden 29 Minuten
26.Apr	06:13	20:46	14:33	14 Stunden 33 Minuten
27.Apr	06:11	20:48	14:37	14 Stunden 37 Minuten
28.Apr	06:09	20:49	14:40	14 Stunden 40 Minuten
29.Apr	06:07	20:51	14:44	14 Stunden 44 Minuten
30.Apr	06:05	20:52	14:47	14 Stunden 47 Minuten
1.Mai	06:04	20:54	14:50	14 Stunden 50 Minuten
2.Mai	06:02	20:56	14:54	14 Stunden 54 Minuten
3.Mai	06:00	20:57	14:57	14 Stunden 57 Minuten
4.Mai	05:58	20:59	15:01	15 Stunden 1 Minute
5.Mai	05:56	21:00	15:04	15 Stunden 4 Minuten
6.Mai	05:55	21:02	15:07	15 Stunden 7 Minuten
7.Mai	05:53	21:04	15:11	15 Stunden 11 Minuten
8.Mai	05:51	21:05	15:14	15 Stunden 14 Minuten
9.Mai	05:50	21:07	15:17	15 Stunden 17 Minuten
10.Mai	05:48	21:08	15:20	15 Stunden 20 Minuten
11.Mai	05:46	21:10	15:24	15 Stunden 24 Minuten
12.Mai	05:45	21:11	15:26	15 Stunden 26 Minuten
13.Mai	05:43	21:13	15:30	15 Stunden 30 Minuten
14.Mai	05:42	21:14	15:32	15 Stunden 32 Minuten
15.Mai	05:40	21:16	15:36	15 Stunden 36 Minuten
16.Mai	05:39	21:17	15:38	15 Stunden 38 Minuten
17.Mai	05:37	21:19	15:42	15 Stunden 42 Minuten
18.Mai	05:36	21:20	15:44	15 Stunden 44 Minuten
19.Mai	05:35	21:22	15:47	15 Stunden 47 Minuten
20.Mai	05:33	21:23	15:50	15 Stunden 50 Minuten
21.Mai	05:32	21:24	15:52	15 Stunden 52 Minuten
22.Mai	05:31	21:26	15:55	15 Stunden 55 Minuten
23.Mai	05:30	21:27	15:57	15 Stunden 57 Minuten
24.Mai	05:29	21:28	15:59	15 Stunden 59 Minuten
25.Mai	05:27	21:30	16:03	16 Stunden 3 Minuten
26.Mai	05:26	21:31	16:05	16 Stunden 5 Minuten
27.Mai	05:25	21:32	16:07	16 Stunden 7 Minuten
28.Mai	05:24	21:33	16:09	16 Stunden 9 Minuten
29.Mai	05:23	21:35	16:12	16 Stunden 12 Minuten
30.Mai	05:23	21:36	16:13	16 Stunden 13 Minuten
31.Mai	05:22	21:37	16:15	16 Stunden 15 Minuten
1.Jun	05:21	21:38	16:17	16 Stunden 17 Minuten
2.Jun	05:20	21:39	16:19	16 Stunden 19 Minuten
3.Jun	05:19	21:40	16:21	16 Stunden 21 Minuten
4.Jun	05:19	21:41	16:22	16 Stunden 22 Minuten
5.Jun	05:18	21:42	16:24	16 Stunden 24 Minuten
6.Jun	05:18	21:43	16:25	16 Stunden 25 Minuten
7.Jun	05:17	21:44	16:27	16 Stunden 27 Minuten
8.Jun	05:17	21:45	16:28	16 Stunden 28 Minuten
9.Jun	05:16	21:46	16:30	16 Stunden 30 Minuten
10.Jun	05:16	21:46	16:30	16 Stunden 30 Minuten
11.Jun	05:16	21:47	16:31	16 Stunden 31 Minuten
12.Jun	05:15	21:48	16:33	16 Stunden 33 Minuten
13.Jun	05:15	21:48	16:33	16 Stunden 33 Minuten
14.Jun	05:15	21:49	16:34	16 Stunden 34 Minuten
15.Jun	05:15	21:49	16:34	16 Stunden 34 Minuten
16.Jun	05:15	21:50	16:35	16 Stunden 35 Minuten
17.Jun	05:15	21:50	16:35	16 Stunden 35 Minuten
18.Jun	05:15	21:51	16:36	16 Stunden 36 Minuten
19.Jun	05:15	21:51	16:36	16 Stunden 36 Minuten
20.Jun	05:15	21:51	16:36	16 Stunden 36 Minuten
21.Jun	05:15	21:52	16:37	16 Stunden 37 Minuten
22.Jun	05:15	21:52	16:37	16 Stunden 37 Minuten
23.Jun	05:16	21:52	16:36	16 Stunden 36 Minuten
24.Jun	05:16	21:52	16:36	16 Stunden 36 Minuten
25.Jun	05:16	21:52	16:36	16 Stunden 36 Minuten
26.Jun	05:17	21:52	16:35	16 Stunden 35 Minuten
27.Jun	05:17	21:52	16:35	16 Stunden 35 Minuten
28.Jun	05:18	21:52	16:34	16 Stunden 34 Minuten
29.Jun	05:18	21:52	16:34	16 Stunden 34 Minuten
30.Jun	05:19	21:52	16:33	16 Stunden 33 Minuten
1.Jul	05:20	21:51	16:31	16 Stunden 31 Minuten
2.Jul	05:20	21:51	16:31	16 Stunden 31 Minuten
3.Jul	05:21	21:51	16:30	16 Stunden 30 Minuten
4.Jul	05:22	21:50	16:28	16 Stunden 28 Minuten
5.Jul	05:23	21:50	16:27	16 Stunden 27 Minuten
6.Jul	05:24	21:49	16:25	16 Stunden 25 Minuten
7.Jul	05:24	21:49	16:25	16 Stunden 25 Minuten
8.Jul	05:25	21:48	16:23	16 Stunden 23 Minuten
9.Jul	05:26	21:47	16:21	16 Stunden 21 Minuten
10.Jul	05:27	21:47	16:20	16 Stunden 20 Minuten
11.Jul	05:28	21:46	16:18	16 Stunden 18 Minuten
12.Jul	05:29	21:45	16:16	16 Stunden 16 Minuten
13.Jul	05:30	21:44	16:14	16 Stunden 14 Minuten
14.Jul	05:32	21:43	16:11	16 Stunden 11 Minuten
15.Jul	05:33	21:43	16:10	16 Stunden 10 Minuten
16.Jul	05:34	21:42	16:08	16 Stunden 8 Minuten
17.Jul	05:35	21:41	16:06	16 Stunden 6 Minuten
18.Jul	05:36	21:39	16:03	16 Stunden 3 Minuten
19.Jul	05:38	21:38	16:00	16 Stunden 
20.Jul	05:39	21:37	15:58	15 Stunden 58 Minuten
21.Jul	05:40	21:36	15:56	15 Stunden 56 Minuten
22.Jul	05:41	21:35	15:54	15 Stunden 54 Minuten
23.Jul	05:43	21:34	15:51	15 Stunden 51 Minuten
24.Jul	05:44	21:32	15:48	15 Stunden 48 Minuten
25.Jul	05:46	21:31	15:45	15 Stunden 45 Minuten
26.Jul	05:47	21:30	15:43	15 Stunden 43 Minuten
27.Jul	05:48	21:28	15:40	15 Stunden 40 Minuten
28.Jul	05:50	21:27	15:37	15 Stunden 37 Minuten
29.Jul	05:51	21:25	15:34	15 Stunden 34 Minuten
30.Jul	05:53	21:24	15:31	15 Stunden 31 Minuten
31.Jul	05:54	21:22	15:28	15 Stunden 28 Minuten
1.Aug	05:56	21:21	15:25	15 Stunden 25 Minuten
2.Aug	05:57	21:19	15:22	15 Stunden 22 Minuten
3.Aug	05:59	21:17	15:18	15 Stunden 18 Minuten
4.Aug	06:00	21:16	15:16	15 Stunden 16 Minuten
5.Aug	06:02	21:14	15:12	15 Stunden 12 Minuten
6.Aug	06:03	21:12	15:09	15 Stunden 9 Minuten
7.Aug	06:05	21:10	15:05	15 Stunden 5 Minuten
8.Aug	06:06	21:09	15:03	15 Stunden 3 Minuten
9.Aug	06:08	21:07	14:59	14 Stunden 59 Minuten
10.Aug	06:09	21:05	14:56	14 Stunden 56 Minuten
11.Aug	06:11	21:03	14:52	14 Stunden 52 Minuten
12.Aug	06:12	21:01	14:49	14 Stunden 49 Minuten
13.Aug	06:14	20:59	14:45	14 Stunden 45 Minuten
14.Aug	06:15	20:58	14:43	14 Stunden 43 Minuten
15.Aug	06:17	20:56	14:39	14 Stunden 39 Minuten
16.Aug	06:18	20:54	14:36	14 Stunden 36 Minuten
17.Aug	06:20	20:52	14:32	14 Stunden 32 Minuten
18.Aug	06:22	20:50	14:28	14 Stunden 28 Minuten
19.Aug	06:23	20:48	14:25	14 Stunden 25 Minuten
20.Aug	06:25	20:46	14:21	14 Stunden 21 Minuten
21.Aug	06:26	20:44	14:18	14 Stunden 18 Minuten
22.Aug	06:28	20:42	14:14	14 Stunden 14 Minuten
23.Aug	06:29	20:39	14:10	14 Stunden 10 Minuten
24.Aug	06:31	20:37	14:06	14 Stunden 6 Minuten
25.Aug	06:32	20:35	14:03	14 Stunden 3 Minuten
26.Aug	06:34	20:33	13:59	13 Stunden 59 Minuten
27.Aug	06:36	20:31	13:55	13 Stunden 55 Minuten
28.Aug	06:37	20:29	13:52	13 Stunden 52 Minuten
29.Aug	06:39	20:27	13:48	13 Stunden 48 Minuten
30.Aug	06:40	20:25	13:45	13 Stunden 45 Minuten
31.Aug	06:42	20:22	13:40	13 Stunden 40 Minuten
1.Sep	06:43	20:20	13:37	13 Stunden 37 Minuten
2.Sep	06:45	20:18	13:33	13 Stunden 33 Minuten
3.Sep	06:46	20:16	13:30	13 Stunden 30 Minuten
4.Sep	06:48	20:14	13:26	13 Stunden 26 Minuten
5.Sep	06:50	20:11	13:21	13 Stunden 21 Minuten
6.Sep	06:51	20:09	13:18	13 Stunden 18 Minuten
7.Sep	06:53	20:07	13:14	13 Stunden 14 Minuten
8.Sep	06:54	20:05	13:11	13 Stunden 11 Minuten
9.Sep	06:56	20:02	13:06	13 Stunden 6 Minuten
10.Sep	06:57	20:00	13:03	13 Stunden 3 Minuten
11.Sep	06:59	19:58	12:59	12 Stunden 59 Minuten
12.Sep	07:00	19:56	12:56	12 Stunden 56 Minuten
13.Sep	07:02	19:53	12:51	12 Stunden 51 Minuten
14.Sep	07:04	19:51	12:47	12 Stunden 47 Minuten
15.Sep	07:05	19:49	12:44	12 Stunden 44 Minuten
16.Sep	07:07	19:47	12:40	12 Stunden 40 Minuten
17.Sep	07:08	19:44	12:36	12 Stunden 36 Minuten
18.Sep	07:10	19:42	12:32	12 Stunden 32 Minuten
19.Sep	07:11	19:40	12:29	12 Stunden 29 Minuten
20.Sep	07:13	19:38	12:25	12 Stunden 25 Minuten
21.Sep	07:14	19:35	12:21	12 Stunden 21 Minuten
22.Sep	07:16	19:33	12:17	12 Stunden 17 Minuten
23.Sep	07:18	19:31	12:13	12 Stunden 13 Minuten
24.Sep	07:19	19:28	12:09	12 Stunden 9 Minuten
25.Sep	07:21	19:26	12:05	12 Stunden 5 Minuten
26.Sep	07:22	19:24	12:02	12 Stunden 2 Minuten
27.Sep	07:24	19:22	11:58	11 Stunden 58 Minuten
28.Sep	07:25	19:19	11:54	11 Stunden 54 Minuten
29.Sep	07:27	19:17	11:50	11 Stunden 50 Minuten
30.Sep	07:29	19:15	11:46	11 Stunden 46 Minuten
1.Okt	07:30	19:13	11:43	11 Stunden 43 Minuten
2.Okt	07:32	19:10	11:38	11 Stunden 38 Minuten
3.Okt	07:33	19:08	11:35	11 Stunden 35 Minuten
4.Okt	07:35	19:06	11:31	11 Stunden 31 Minuten
5.Okt	07:37	19:04	11:27	11 Stunden 27 Minuten
6.Okt	07:38	19:02	11:24	11 Stunden 24 Minuten
7.Okt	07:40	18:59	11:19	11 Stunden 19 Minuten
8.Okt	07:41	18:57	11:16	11 Stunden 16 Minuten
9.Okt	07:43	18:55	11:12	11 Stunden 12 Minuten
10.Okt	07:45	18:53	11:08	11 Stunden 8 Minuten
11.Okt	07:46	18:51	11:05	11 Stunden 5 Minuten
12.Okt	07:48	18:49	11:01	11 Stunden 1 Minute
13.Okt	07:50	18:46	10:56	10 Stunden 56 Minuten
14.Okt	07:51	18:44	10:53	10 Stunden 53 Minuten
15.Okt	07:53	18:42	10:49	10 Stunden 49 Minuten
16.Okt	07:55	18:40	10:45	10 Stunden 45 Minuten
17.Okt	07:56	18:38	10:42	10 Stunden 42 Minuten
18.Okt	07:58	18:36	10:38	10 Stunden 38 Minuten
19.Okt	08:00	18:34	10:34	10 Stunden 34 Minuten
20.Okt	08:01	18:32	10:31	10 Stunden 31 Minuten
21.Okt	08:03	18:30	10:27	10 Stunden 27 Minuten
22.Okt	08:05	18:28	10:23	10 Stunden 23 Minuten
23.Okt	08:06	18:26	10:20	10 Stunden 20 Minuten
24.Okt	08:08	18:24	10:16	10 Stunden 16 Minuten
25.Okt	08:10	18:22	10:12	10 Stunden 12 Minuten
26.Okt	08:11	18:20	10:09	10 Stunden 9 Minuten
27.Okt	08:13	18:18	10:05	10 Stunden 5 Minuten
28.Okt	08:15	18:16	10:01	10 Stunden 1 Minute
29.Okt	07:16	17:14	09:58	9 Stunden 58 Minuten
30.Okt	07:18	17:13	09:55	9 Stunden 55 Minuten
31.Okt	07:20	17:11	09:51	9 Stunden 51 Minuten
1.Nov	07:22	17:09	09:47	9 Stunden 47 Minuten
2.Nov	07:23	17:07	09:44	9 Stunden 44 Minuten
3.Nov	07:25	17:05	09:40	9 Stunden 40 Minuten
4.Nov	07:27	17:04	09:37	9 Stunden 37 Minuten
5.Nov	07:28	17:02	09:34	9 Stunden 34 Minuten
6.Nov	07:30	17:00	09:30	9 Stunden 30 Minuten
7.Nov	07:32	16:59	09:27	9 Stunden 27 Minuten
8.Nov	07:34	16:57	09:23	9 Stunden 23 Minuten
9.Nov	07:35	16:56	09:21	9 Stunden 21 Minuten
10.Nov	07:37	16:54	09:17	9 Stunden 17 Minuten
11.Nov	07:39	16:53	09:14	9 Stunden 14 Minuten
12.Nov	07:40	16:51	09:11	9 Stunden 11 Minuten
13.Nov	07:42	16:50	09:08	9 Stunden 8 Minuten
14.Nov	07:44	16:48	09:04	9 Stunden 4 Minuten
15.Nov	07:45	16:47	09:02	9 Stunden 2 Minuten
16.Nov	07:47	16:46	08:59	8 Stunden 59 Minuten
17.Nov	07:49	16:44	08:55	8 Stunden 55 Minuten
18.Nov	07:50	16:43	08:53	8 Stunden 53 Minuten
19.Nov	07:52	16:42	08:50	8 Stunden 50 Minuten
20.Nov	07:54	16:41	08:47	8 Stunden 47 Minuten
21.Nov	07:55	16:40	08:45	8 Stunden 45 Minuten
22.Nov	07:57	16:39	08:42	8 Stunden 42 Minuten
23.Nov	07:58	16:38	08:40	8 Stunden 40 Minuten
24.Nov	08:00	16:37	08:37	8 Stunden 37 Minuten
25.Nov	08:01	16:36	08:35	8 Stunden 35 Minuten
26.Nov	08:03	16:35	08:32	8 Stunden 32 Minuten
27.Nov	08:04	16:34	08:30	8 Stunden 30 Minuten
28.Nov	08:06	16:33	08:27	8 Stunden 27 Minuten
29.Nov	08:07	16:32	08:25	8 Stunden 25 Minuten
30.Nov	08:09	16:32	08:23	8 Stunden 23 Minuten
1.Dez	08:10	16:31	08:21	8 Stunden 21 Minuten
2.Dez	08:11	16:30	08:19	8 Stunden 19 Minuten
3.Dez	08:13	16:30	08:17	8 Stunden 17 Minuten
4.Dez	08:14	16:29	08:15	8 Stunden 15 Minuten
5.Dez	08:15	16:29	08:14	8 Stunden 14 Minuten
6.Dez	08:17	16:29	08:12	8 Stunden 12 Minuten
7.Dez	08:18	16:28	08:10	8 Stunden 10 Minuten
8.Dez	08:19	16:28	08:09	8 Stunden 9 Minuten
9.Dez	08:20	16:28	08:08	8 Stunden 8 Minuten
10.Dez	08:21	16:28	08:07	8 Stunden 7 Minuten
11.Dez	08:22	16:28	08:06	8 Stunden 6 Minuten
12.Dez	08:23	16:27	08:04	8 Stunden 4 Minuten
13.Dez	08:24	16:27	08:03	8 Stunden 3 Minuten
14.Dez	08:25	16:27	08:02	8 Stunden 2 Minuten
15.Dez	08:26	16:28	08:02	8 Stunden 2 Minuten
16.Dez	08:27	16:28	08:01	8 Stunden 1 Minute
17.Dez	08:27	16:28	08:01	8 Stunden 1 Minute
18.Dez	08:28	16:28	08:00	8 Stunden 
19.Dez	08:29	16:29	08:00	8 Stunden 
20.Dez	08:29	16:29	08:00	8 Stunden 
21.Dez	08:30	16:29	07:59	7 Stunden 59 Minuten
22.Dez	08:30	16:30	08:00	8 Stunden 
23.Dez	08:31	16:30	07:59	7 Stunden 59 Minuten
24.Dez	08:31	16:31	08:00	8 Stunden 
25.Dez	08:32	16:32	08:00	8 Stunden 
26.Dez	08:32	16:32	08:00	8 Stunden 
27.Dez	08:32	16:33	08:01	8 Stunden 1 Minute
28.Dez	08:32	16:34	08:02	8 Stunden 2 Minuten
29.Dez	08:32	16:35	08:03	8 Stunden 3 Minuten
30.Dez	08:32	16:36	08:04	8 Stunden 4 Minuten
31.Dez	08:32	16:37	08:05	8 Stunden 5 Minuten
